session_id,user_id,session_start_ts,device,channel,campaign_id,variant,is_new_user
S0000074,U001458,2025-11-12T22:45:06,mobile,email,C007,,0
S0000075,U000108,2025-12-19T02:48:38,web,paid_social,C035,B,1
S0000076,U001975,2025-12-22T20:24:40,web,organic,C020,B,0
S0000077,U000195,2025-10-29T02:18:16,web,paid_social,C020,B,1
S0000078,,2025-11-24T02:15:31,mobile,paid_social,C009,,0
S0000079,U000382,2025-12-27T10:25:52,mobile,paid_social,C032,,0
S0000080,U001963,2025-12-25T09:18:47,mobile,organic,C038,,0
S0000081,U001896,2025-12-09T10:55:09,mobile,email,C026,,0
S0000082,U002030,2025-12-30T10:21:13,mobile,organic,C029,,0
S0000083,U001834,2025-10-31T03:05:20,web,search,C029,,0
S0000084,U002032,2025-11-01T01:54:44,web,search,C007,B,0
S0000085,U001038,2025-12-19T14:45:10,mobile,referral,C019,,0
S0000086,U000011,2025-12-22T20:10:38,mobile,organic,C012,,0
S0000087,U000964,2026-01-02T17:57:14,mobile,organic,C017,,1
S0000088,U000487,2025-11-06T17:36:56,web,referral,C035,,0
S0000089,U000539,2025-12-06T22:48:10,mobile,referral,C034,,0
S0000090,U001521,2025-12-19T21:58:18,web,organic,C023,,0
S0000091,U000368,2025-11-10T13:46:02,web,email,C005,,1
S0000092,,2025-12-06T23:08:25,web,referral,C015,,0
S0000093,,2025-12-17T21:37:02,web,organic,C029,,0
S0000094,,2025-11-09T17:47:13,web,paid_social,C024,,0
S0000095,,2025-11-24T05:47:35,mobile,organic,C023,,0
S0000096,U001679,2025-11-09T21:52:04,web,email,C016,A,1
S0000097,,2026-01-10T16:55:58,mobile,organic,C039,,0
S0000098,U000063,2025-11-11T18:03:42,web,paid_social,C037,A,1
S0000099,U001732,2025-11-01T07:34:44,web,email,C026,A,0
S0000100,U000982,2025-10-24T14:30:41,web,organic,C035,B,0
S0000101,U000586,2025-10-25T11:40:32,web,paid_social,C008,B,1
S0000102,,2025-11-07T16:24:08,web,organic,C007,,0
S0000103,U001891,2025-12-15T04:18:23,web,organic,C029,B,1
S0000104,U000969,2025-10-23T00:41:59,web,referral,C028,B,1
S0000105,U000976,2025-11-16T05:56:34,web,referral,C010,B,0
S0000106,U002007,2025-10-26T16:12:59,mobile,paid_social,C034,,0
S0000107,U000421,2025-11-26T18:28:44,,email,C030,,1
S0000108,U000900,2025-10-25T19:30:06,web,organic,C009,B,0
S0000109,U001255,2025-12-15T02:51:59,web,search,C025,A,1
S0000110,U000763,2025-12-22T09:34:21,web,email,C035,A,0
S0000111,,2025-12-26T06:15:54,mobile,email,C031,,0
S0000112,,2025-11-10T15:09:28,web,search,C017,,0
S0000113,U000587,2026-01-07T14:32:11,mobile,organic,C033,,1
S0000114,U000788,2025-12-22T13:35:54,mobile,paid_social,C013,,0
S0000115,U001843,2025-10-26T12:56:26,web,organic,C039,B,1
S0000116,U000742,2025-11-30T02:37:56,mobile,email,C040,,1
S0000117,U000355,2025-12-29T12:55:48,mobile,organic,C013,,0
S0000118,,2025-11-18T10:06:25,mobile,search,C028,,0
S0000119,U000774,2025-11-24T18:44:35,mobile,organic,C039,,1
S0000120,U002024,2025-12-17T02:31:13,web,paid_social,C012,B,1
S0000121,U000240,2025-10-26T10:24:53,web,referral,C029,,0
S0000122,U000049,2026-01-16T11:09:21,web,search,C022,,0
S0000123,U002028,2025-11-06T03:27:18,mobile,referral,C018,,1
S0000124,U000217,2025-10-23T20:11:15,web,search,C026,A,1
S0000125,U000019,2025-10-21T22:04:25,web,organic,C020,B,1
S0000126,,2025-11-26T09:36:48,mobile,email,C029,,0
S0000127,U000698,2026-01-09T00:33:48,web,organic,C039,B,0
S0000128,U001067,2026-01-03T05:15:44,web,organic,C009,A,1
S0000129,U000899,2026-01-11T12:35:42,web,paid_social,C008,B,0
S0000130,,2025-12-08T11:32:45,mobile,organic,C025,,0
S0000131,U001059,2025-11-30T19:52:04,web,email,C039,B,0
S0000132,U000572,2025-11-25T04:02:09,web,search,C034,B,1
S0000133,U000495,2025-10-25T14:50:21,,organic,C017,,1
S0000134,U000495,2026-01-11T07:08:31,web,search,C033,B,1
S0000135,,2025-12-05T02:18:59,web,organic,C037,,0
S0000136,,2025-12-01T09:31:18,mobile,paid_social,C012,,0
S0000137,U001207,2025-12-06T19:20:16,web,organic,C005,B,0
S0000138,,2025-12-31T21:56:59,web,email,C039,,0
S0000139,U001011,2025-11-10T15:26:01,mobile,organic,C007,,1
S0000140,U001626,2025-12-24T07:57:41,mobile,organic,C001,,0
S0000141,U000003,2025-12-24T09:50:19,web,paid_social,C013,A,0
S0000142,U000661,2026-01-05T21:36:36,mobile,search,C032,,1
S0000143,U002115,2025-10-22T05:19:57,mobile,search,C030,,1
S0000144,U000940,2025-11-05T18:37:49,mobile,search,C013,,1
S0000145,,2025-12-02T20:02:14,mobile,organic,C028,,0
S0000146,U001160,2026-01-05T23:44:36,mobile,search,C038,,1
S0000147,U000904,2026-01-16T07:13:42,web,referral,C001,A,0
S0000148,U000465,2025-12-13T23:29:32,web,organic,C035,A,0
S0000149,,2025-11-09T12:47:07,web,paid_social,C025,,0
S0000150,U001945,2025-11-07T01:16:44,web,organic,C036,B,1
S0000151,U001789,2025-12-17T23:46:30,mobile,email,C002,,1
S0000152,,2025-11-09T08:19:31,web,organic,C011,,0
S0000153,U000039,2025-12-10T05:14:41,web,organic,C016,A,0
S0000154,,2026-01-04T13:46:11,web,search,C032,,0
S0000155,U001042,2025-11-25T12:35:11,mobile,paid_social,C028,,1
S0000156,,2025-11-24T12:04:33,mobile,organic,C014,,0
S0000157,U001931,2025-10-24T16:38:21,web,email,C010,A,0
S0000158,U000952,2025-11-13T07:23:55,mobile,organic,C018,,1
S0000159,,2025-12-23T06:40:10,web,referral,C007,,0
S0000160,U000522,2025-11-22T21:01:16,mobile,referral,C037,,0
S0000161,,2025-11-04T16:30:06,mobile,email,C034,,0
S0000162,U001199,2025-10-30T23:02:04,web,paid_social,C029,B,0
S0000163,,2025-10-29T23:53:29,mobile,paid_social,C020,,0
S0000164,U001305,2025-12-19T18:18:15,web,email,C026,B,0
S0000165,U000486,2025-12-15T13:50:18,web,organic,C011,A,1
S0000166,U000924,2025-12-07T02:34:53,web,email,C006,B,1
S0000167,U002094,2025-12-05T11:16:52,web,search,C010,B,0
S0000168,U000320,2025-11-04T05:21:06,mobile,email,C022,,1
S0000169,U002093,2025-12-05T11:52:52,mobile,search,C039,,1
S0000170,U000601,2025-10-26T20:02:30,mobile,paid_social,C005,,1
S0000171,U000651,2026-01-12T18:25:49,mobile,search,C013,,0
S0000172,U000032,2025-10-26T15:54:56,web,search,C004,B,0
S0000173,U001461,2025-11-28T13:24:04,web,search,C018,A,1
S0000174,U000703,2025-10-21T11:48:34,mobile,paid_social,C038,,1
S0000175,U001011,2025-12-31T04:39:39,web,organic,C003,B,0
S0000176,U001278,2025-11-05T09:30:13,mobile,referral,C024,,0
S0000177,,2026-01-12T16:23:41,web,email,C007,,0
S0000178,,2025-10-25T09:34:05,web,email,C001,,0
S0000179,U001223,2026-01-03T07:28:36,web,referral,C022,B,0
S0000180,U000392,2025-12-19T12:54:49,web,search,C019,,0
S0000181,U001548,2025-11-12T22:00:19,web,email,C037,A,0
S0000182,U000123,2025-11-08T15:48:09,web,search,C012,B,1
S0000183,U001856,2025-11-22T15:09:37,web,organic,C026,B,1
S0000184,U000652,2026-01-03T23:55:34,mobile,organic,C007,,0
S0000185,U001589,2026-01-07T00:24:08,web,organic,C024,A,0
S0000186,U000345,2025-11-06T05:11:33,web,ORGANIC,C033,,1
S0000187,U000895,2025-11-22T06:01:26,web,search,C016,B,0
S0000188,U001531,2025-11-11T19:33:27,web,referral,C007,,0
S0000189,U001367,2025-11-01T11:29:04,web,organic,C021,A,0
S0000190,U000013,2025-12-18T14:54:24,web,referral,C007,B,0
S0000191,,2025-11-21T13:39:27,web,email,C026,,0
S0000192,U002158,2025-11-10T17:24:20,mobile,email,C010,,1
S0000193,,2026-01-07T09:07:52,web,email,C027,,0
S0000194,U001883,2025-12-27T18:56:34,web,referral,C029,A,0
S0000195,U000160,2025-12-30T01:54:00,mobile,organic,C040,,0
S0000196,U001080,2025-10-24T23:14:21,web,search,C008,A,1
S0000197,U001268,2026-01-11T19:15:28,web,search,C038,B,0
S0000198,U002027,2025-12-12T04:00:39,web,organic,C013,B,0
S0000199,,2025-12-05T18:47:24,mobile,search,C007,,0
S0000200,U001382,2025-10-22T09:26:25,mobile,search,C037,,0
S0000201,,2026-01-10T05:31:35,web,referral,C023,,0
S0000202,U002187,2025-12-09T09:22:46,mobile,organic,C023,,0
S0000203,U000721,2026-01-03T16:54:27,web,referral,C013,,0
S0000204,U000613,2025-12-19T10:28:47,mobile,organic,C007,,0
S0000205,U001593,2026-01-01T03:26:03,web,paid_social,C003,B,0
S0000206,U002194,2025-12-22T19:18:31,mobile,organic,C035,,1
S0000207,U001886,2026-01-12T07:51:29,web,referral,C001,B,0
S0000208,U000397,2025-11-10T17:37:19,web,PAID_SOCIAL,C021,B,1
S0000209,U001794,2025-11-08T15:06:44,web,organic,C011,B,1
S0000210,,2025-12-24T13:39:57,mobile,referral,C034,,0
S0000211,U000489,2025-12-05T13:35:20,web,organic,C029,A,1
S0000212,U002058,2025-12-14T08:45:51,web,referral,C004,A,1
S0000213,U002090,2025-12-24T05:01:40,mobile,organic,C006,,0
S0000214,U000816,2025-12-09T17:01:15,mobile,organic,C007,,0
S0000215,U000058,2025-12-31T07:59:38,mobile,organic,C029,,1
S0000216,U000462,2025-11-19T03:19:46,web,paid_social,C004,B,1
S0000217,U001191,2026-01-06T17:59:43,web,email,C010,B,0
S0000218,U000131,2025-10-31T03:09:25,mobile,paid_social,C020,,0
S0000219,U000500,2025-12-17T12:01:29,web,organic,C008,A,0
S0000220,U000328,2026-01-09T13:15:44,mobile,search,C016,,0
S0000221,U002095,2025-11-13T04:23:43,mobile,search,C013,,0
S0000222,U000782,2025-11-19T20:32:20,mobile,search,C017,,0
S0000223,,2025-11-17T22:19:49,mobile,search,C002,,0
S0000224,,2025-12-11T05:23:08,web,search,C015,,0
S0000225,U000029,2025-11-27T14:22:45,mobile,search,C022,,0
S0000226,U001194,2025-10-31T03:46:05,mobile,paid_social,C017,,1
S0000227,U002008,2026-01-09T15:45:23,mobile,organic,C038,,0
S0000228,,2025-11-08T20:40:39,web,referral,C016,,0
S0000229,,2025-12-08T12:11:20,web,email,C013,,0
S0000230,U000030,2025-12-13T23:21:17,mobile,email,C007,,0
S0000231,U001702,2025-10-25T02:36:00,mobile,email,C025,,0
S0000232,U001851,2025-10-30T01:18:53,web,search,C023,B,0
S0000233,U002028,2026-01-16T21:25:33,web,referral,C003,,0
S0000234,,2025-12-20T05:55:22,web,search,C035,,0
S0000235,,2025-10-24T11:04:36,web,search,C040,,0
S0000236,U001665,2025-12-31T22:02:47,web,email,C040,,0
S0000237,,2025-12-06T05:01:43,mobile,email,C032,,0
S0000238,U001666,2025-10-28T05:00:26,mobile,search,C005,,0
S0000239,,2025-12-21T17:00:02,web,email,C036,,0
S0000240,U001988,2025-12-05T09:10:33,mobile,paid_social,C017,,1
S0000241,U000082,2025-11-08T21:12:10,web,search,C035,B,0
S0000242,U000206,2026-01-08T10:24:47,mobile,referral,C010,,0
S0000243,,2025-11-16T15:57:23,mobile,search,C028,,0
S0000244,,2025-11-16T01:13:06,web,email,C023,,0
S0000245,U001219,2025-11-14T23:46:01,mobile,email,C019,,0
S0000246,U002000,2025-12-29T12:16:50,web,organic,C015,A,1
S0000247,U001916,2025-12-23T23:47:32,mobile,email,C003,,0
S0000248,U001583,2026-01-10T17:22:15,mobile,organic,C036,,0
S0000249,U000363,2025-11-11T01:56:55,mobile,email,C029,,1
S0000250,U000213,2025-12-31T05:07:25,web,paid_social,C038,B,0
S0000251,U000308,2025-12-12T00:21:16,web,paid_social,C021,A,0
S0000252,,2025-11-18T05:19:26,web,referral,C014,,0
S0000253,U001569,2025-10-24T15:09:25,web,paid_social,C025,,1
S0000254,U001760,2026-01-03T03:30:10,web,organic,C015,A,0
S0000255,U000227,2025-11-12T03:17:25,web,paid_social,C038,B,0
S0000256,U000605,2025-12-17T07:08:28,mobile,paid_social,C022,,0
S0000257,U000744,2025-12-09T20:07:51,web,search,C028,A,1
S0000258,U001392,2025-10-21T20:11:13,web,organic,C026,A,0
S0000259,,2026-01-18T22:21:30,mobile,search,C016,,0
S0000260,,2026-01-02T17:31:39,web,email,C031,,0
S0000261,U000178,2025-12-04T05:21:14,mobile,paid_social,C020,,1
S0000262,U001153,2025-12-21T16:06:48,mobile,email,C005,,0
S0000263,U002053,2025-12-03T08:01:10,web,search,C017,B,0
S0000264,U000428,2025-12-27T10:52:57,web,referral,C003,A,0
S0000265,U001513,2025-11-02T12:43:32,mobile,email,C030,,1
S0000266,,2025-11-30T14:41:39,web,search,C028,,0
S0000267,U001804,2025-11-20T15:20:11,web,search,C036,A,0
S0000268,U001294,2025-12-01T19:25:53,mobile,referral,C020,,0
S0000269,U001867,2025-11-30T23:35:49,mobile,referral,C040,,0
S0000270,U000887,2025-11-03T07:39:32,web,search,C027,B,0
S0000271,U000361,2026-01-17T07:47:29,web,email,C016,A,0
S0000272,U001496,2025-10-22T20:02:21,mobile,referral,C013,,0
S0000273,U002129,2025-10-22T08:20:01,web,organic,C038,A,1
S0000274,U000954,2025-11-24T01:12:33,mobile,search,C007,,0
S0000275,U001804,2025-12-16T06:35:20,web,paid_social,C001,A,0
S0000276,U001931,2025-11-06T14:37:37,web,organic,C005,A,0
S0000277,U001421,2025-12-08T10:16:30,web,email,C028,,0
S0000278,U001742,2025-12-25T11:45:48,mobile,organic,C032,,0
S0000279,U001239,2025-10-29T21:44:49,web,search,C021,B,0
S0000280,U001771,2026-01-18T00:55:42,mobile,search,C017,,0
S0000281,U000740,2025-11-20T17:50:58,mobile,paid_social,C008,,1
S0000282,,2025-12-18T06:11:36,mobile,organic,C004,,0
S0000283,U000172,2025-10-31T09:43:51,mobile,search,C030,,0
S0000284,,2025-12-24T07:04:00,web,ORGANIC,C010,,0
S0000285,U001275,2026-01-05T01:57:42,web,organic,C040,B,1
S0000286,U001594,2025-10-30T21:59:31,web,email,C035,A,0
S0000287,U000066,2025-11-01T18:26:26,web,organic,C031,,1
S0000288,,2025-11-15T17:38:18,web,organic,C020,,0
S0000289,U000015,2025-10-22T12:21:27,mobile,organic,C015,,1
S0000290,U001139,2026-01-18T04:26:49,mobile,search,C035,,0
S0000291,U000738,2025-12-14T07:05:08,web,organic,C002,A,0
S0000292,U000117,2025-12-15T02:58:09,web,search,C038,B,1
S0000293,U001746,2026-01-15T17:56:03,mobile,paid_social,C033,,0
S0000294,U001163,2026-01-04T07:45:33,mobile,organic,C003,,0
S0000295,U000023,2026-01-02T17:20:27,mobile,organic,C009,,0
S0000296,U001510,2025-11-20T23:54:04,web,search,C038,,0
S0000297,,2025-11-20T13:52:51,web,email,C027,,0
S0000298,U000923,2025-11-16T16:43:48,mobile,organic,C015,,1
S0000299,U002090,2025-11-21T15:26:20,web,paid_social,C034,A,0
S0000300,,2025-11-23T16:42:54,mobile,referral,C028,,0
S0000301,U000171,2025-11-03T00:59:02,web,organic,C037,A,1
S0000302,,2025-11-22T11:25:24,web,organic,C017,,0
S0000303,,2025-11-30T15:32:59,mobile,email,C024,,0
S0000304,U000665,2025-11-18T06:45:59,mobile,referral,C025,,0
S0000305,U000847,2025-11-05T07:43:32,web,organic,C002,A,1
S0000306,U000978,2025-11-24T01:08:33,mobile,paid_social,C027,,0
S0000307,U001058,2025-12-03T17:20:13,mobile,paid_social,C029,,0
S0000308,U001900,2025-12-25T07:20:58,mobile,search,C006,,0
S0000309,U000026,2025-12-24T10:50:58,mobile,paid_social,C033,,0
S0000310,,2025-11-08T16:23:50,mobile,search,C018,,0
S0000311,U000526,2025-10-24T17:45:06,mobile,referral,C018,,0
S0000312,U002098,2025-11-17T18:46:59,mobile,search,C009,,1
S0000313,U000298,2025-11-04T13:59:26,mobile,search,C035,,1
S0000314,U000221,2025-11-26T01:28:45,mobile,paid_social,C005,,0
S0000315,U000268,2026-01-17T13:57:49,mobile,organic,C040,,0
S0000316,U000652,2025-11-06T17:41:25,web,search,C024,B,1
S0000317,U002072,2025-11-19T03:20:37,web,organic,C010,B,1
S0000318,U001019,2025-12-25T16:49:23,mobile,paid_social,C028,,0
S0000319,U000364,2025-12-06T06:24:39,mobile,search,C029,,0
S0000320,U001412,2025-10-25T09:27:39,web,email,C011,B,1
S0000321,,2025-11-04T23:49:35,mobile,email,C036,,0
S0000322,,2026-01-13T14:42:54,web,search,C001,,0
S0000323,,2025-10-30T17:24:45,web,paid_social,C006,,0
S0000324,U001730,2025-12-17T14:22:35,mobile,organic,C039,,0
S0000325,,2025-12-31T17:59:58,mobile,search,C031,,0
S0000326,U001091,2025-11-14T07:55:28,mobile,organic,C019,,0
S0000327,U001388,2025-12-25T16:44:40,mobile,organic,C013,,0
S0000328,U001225,2025-11-05T17:32:59,mobile,email,C027,,0
S0000329,U002140,2025-11-16T01:38:12,mobile,referral,C028,,0
S0000330,U002114,2025-11-18T12:06:42,mobile,search,C004,,0
S0000331,U001787,2026-01-19T02:52:32,web,organic,C018,,0
S0000332,U000529,2025-11-09T18:03:08,web,organic,C025,A,0
S0000333,U001164,2025-11-02T01:39:51,web,organic,C024,A,0
S0000334,U001769,2026-01-12T18:04:10,web,email,C031,,0
S0000335,U000591,2025-11-05T00:20:47,web,search,C037,,1
S0000336,U001566,2026-01-08T13:49:14,web,email,C002,A,0
S0000337,U000549,2025-12-18T23:33:44,web,search,C022,,0
S0000338,U000309,2025-12-12T08:35:49,mobile,paid_social,C021,,1
S0000339,U000528,2025-12-28T01:28:03,web,paid_social,C009,B,0
S0000340,U002039,2025-12-25T18:44:02,web,organic,C006,A,0
S0000341,U002190,2025-10-31T09:18:45,web,paid_social,C037,A,1
S0000342,U001882,2026-01-19T09:25:22,web,email,C006,,0
S0000343,U000597,2026-01-14T05:03:28,mobile,organic,C018,,0
S0000344,,2026-01-10T03:12:53,mobile,organic,C025,,0
S0000345,,2025-12-16T10:43:14,mobile,search,C020,,0
S0000346,U000279,2025-12-07T11:48:19,mobile,REFERRAL,C025,,0
S0000347,U000570,2025-12-08T16:56:16,mobile,referral,C002,,0
S0000348,U000308,2025-10-22T18:50:23,mobile,organic,C023,,0
S0000349,U001410,2025-12-05T09:25:49,web,email,C033,A,1
S0000350,U001504,2025-12-16T13:55:06,web,email,C021,A,1
S0000351,U000079,2025-12-19T17:22:53,mobile,email,C040,,1
S0000352,U000236,2025-11-20T07:59:50,mobile,organic,C019,,0
S0000353,U001054,2025-12-02T20:32:45,mobile,referral,C013,,1
S0000354,,2025-12-17T17:00:25,web,email,C020,,0
S0000355,U001823,2025-11-28T23:42:57,mobile,paid_social,C013,,1
S0000356,U000881,2026-01-16T00:47:17,web,organic,C014,,0
S0000357,U000909,2025-12-23T22:19:52,mobile,organic,C019,,0
S0000358,U000012,2025-10-21T13:19:38,web,search,C011,,1
S0000359,U001544,2025-10-23T12:51:35,web,email,C002,A,1
S0000360,,2025-12-22T13:37:28,web,email,C011,,0
S0000361,U001665,2025-11-27T13:53:22,web,referral,C002,,0
S0000362,U001189,2026-01-04T23:50:00,web,search,C037,B,0
S0000363,U000594,2025-11-06T00:17:21,mobile,referral,C035,,1
S0000364,U000172,2025-10-22T16:26:32,web,email,C011,A,0
S0000365,U000695,2025-11-25T08:50:02,web,organic,C036,B,0
S0000366,,2025-12-26T16:28:28,web,organic,C015,,0
S0000367,U000257,2026-01-16T21:30:29,mobile,email,C015,,0
S0000368,U000119,2026-01-08T23:16:06,web,paid_social,C021,A,0
S0000369,U000478,2025-12-04T00:10:38,web,organic,C037,,0
S0000370,U000156,2026-01-02T14:15:41,mobile,email,C030,,0
S0000371,,2025-10-27T18:29:23,web,organic,C026,,0
S0000372,U001069,2025-12-11T22:41:03,mobile,paid_social,C032,,0
S0000373,,2026-01-12T15:03:38,web,referral,C036,,0
S0000374,,2025-11-26T02:46:05,mobile,organic,C029,,0
S0000375,U000201,2026-01-15T20:23:36,mobile,organic,C019,,0
S0000376,,2025-11-10T07:15:21,web,paid_social,C013,,0
S0000377,,2025-10-30T22:44:42,mobile,paid_social,C019,,0
S0000378,U001368,2025-12-07T16:03:46,web,organic,C007,A,0
S0000379,U000513,2026-01-11T02:13:45,web,search,C025,B,0
S0000380,U000853,2025-11-18T10:56:21,mobile,search,C033,,0
S0000381,U001985,2026-01-01T10:55:20,mobile,email,C002,,0
S0000382,,2025-11-05T16:02:32,web,paid_social,C035,,0
S0000383,U001683,2025-12-27T13:00:29,mobile,organic,C026,,1
S0000384,U000770,2025-12-10T13:45:15,web,organic,C037,A,1
S0000385,,2025-11-06T04:36:46,web,organic,C029,,0
S0000386,U001573,2025-12-25T01:38:40,web,organic,C035,B,0
S0000387,U001135,2025-12-24T16:17:21,mobile,organic,C031,,1
S0000388,,2025-12-06T19:54:58,mobile,email,C015,,0
S0000389,U001372,2025-11-10T17:35:10,web,email,C022,B,0
S0000390,U000353,2025-11-02T08:19:51,mobile,organic,C007,,0
S0000391,U000554,2026-01-15T14:14:49,mobile,email,C034,,0
S0000392,,2025-12-19T11:07:52,web,search,C027,,0
S0000393,U000970,2026-01-02T06:32:15,web,paid_social,C024,B,0
S0000394,U001725,2025-12-23T04:01:56,mobile,email,C026,,1
S0000395,U001157,2026-01-04T02:14:21,web,organic,C028,B,0
S0000396,U000145,2025-11-05T01:33:22,web,paid_social,C010,A,1
S0000397,U001463,2025-12-05T03:59:19,web,organic,C025,A,0
S0000398,U001342,2025-12-20T11:33:56,web,referral,C025,B,0
S0000399,U000803,2025-10-30T17:53:54,web,organic,C028,A,0
S0000400,,2025-11-03T22:28:59,mobile,paid_social,C040,,0
S0000401,U000772,2025-12-17T11:58:42,mobile,organic,C014,,0
S0000402,U000253,2026-01-07T14:58:50,mobile,search,C007,,0
S0000403,U000267,2025-12-19T21:04:30,mobile,search,C040,,0
S0000404,U001984,2025-10-24T16:46:42,web,paid_social,C016,B,1
S0000405,U000828,2026-01-16T18:42:40,web,organic,C012,,0
S0000406,U000913,2025-11-02T23:54:39,web,organic,C016,B,1
S0000407,U000673,2025-11-11T08:54:38,mobile,organic,C032,,1
S0000408,U001624,2026-01-17T04:30:19,web,organic,C009,,0
S0000409,U001333,2025-12-29T20:00:26,web,organic,C001,B,1
S0000410,U001978,2026-01-13T17:34:54,mobile,search,C032,,0
S0000411,U001968,2026-01-02T00:52:28,web,search,C021,A,1
S0000412,U002178,2025-12-19T02:19:21,mobile,referral,C029,,0
S0000413,,2025-11-16T01:12:38,web,search,C011,,0
S0000414,U001285,2025-11-19T20:38:24,web,organic,C009,A,1
